"msafips","whites","blacks","asians","amind","other","multigroup"
40,0.49137,0.51236,0.45762,0.59547,0.5808,0.36409
80,0.72658,0.78038,0.52615,0.64496,0.65977,0.30143
120,0.71643,0.72303,0.57199,0.67247,0.69449,0.7266
160,0.52816,0.57643,0.53835,0.71482,0.60303,0.1634
200,0.38262,0.38662,0.38048,0.54191,0.42858,0.34989
220,0.76276,0.78398,0.6252,0.81735,0.82041,0.65188
240,0.54955,0.62313,0.56363,0.84449,0.61703,0.22378
280,0.58683,0.64531,0.72726,1.0255,0.73824,0.06035
320,0.61849,0.85081,0.53869,0.52061,0.58741,0.42486
360,0.34221,0.36679,0.36798,0.35218,0.47818,0.30513
380,0.32022,0.35065,0.31358,0.38739,0.37348,0.23444
400,0.74616,0.79633,0.59787,0.75242,0.8324,0.24729
405,0.69703,0.71004,0.70821,0.74062,0.69926,0.40201
440,0.46755,0.53717,0.42829,0.54129,0.46343,0.28506
450,0.70071,0.73052,0.59368,0.76128,0.55938,0.46395
460,0.54262,0.55328,0.62685,0.65019,0.73769,0.09412
480,0.67411,0.72604,0.626,0.65073,0.72184,0.2358
500,0.62401,0.65308,0.52431,0.79246,0.6994,0.42742
520,0.70876,0.74193,0.50203,0.69076,0.58361,0.60589
560,0.70956,0.77218,0.57938,0.7469,0.62298,0.47404
600,0.68933,0.70828,0.49224,0.66754,0.54579,0.63259
620,0.5353,0.53797,0.48304,0.62055,0.56851,0.34352
640,0.53722,0.62179,0.46415,0.57871,0.52527,0.45642
680,0.57141,0.57639,0.50319,0.45174,0.59882,0.55118
720,0.71428,0.74689,0.4654,0.58406,0.53897,0.59962
730,0.48288,0.58545,0.56201,0.64064,0.77171,0.07949
760,0.81838,0.84084,0.60366,0.72132,0.67483,0.7213
780,0.65135,0.7207,0.55924,0.69111,0.62958,0.31863
840,0.84423,0.87211,0.75026,0.73417,0.71232,0.69788
845,0.69359,0.72741,0.73269,0.85573,0.75427,0.17127
860,0.4916,0.62241,0.49587,0.66655,0.68501,0.18939
870,0.69056,0.73998,0.57158,0.64701,0.64994,0.42218
875,0.49221,0.64042,0.40424,0.69841,0.5548,0.36458
880,0.56028,0.80364,0.6189,0.59862,0.73114,0.17641
920,0.64925,0.69291,0.57951,0.74824,0.61912,0.45303
960,0.47237,0.52471,0.52973,0.80043,0.59479,0.10027
1000,0.82518,0.83824,0.60586,0.82535,0.82826,0.67229
1010,0.50053,0.64616,0.60402,0.53631,0.6593,0.07899
1020,0.39344,0.48198,0.42609,0.82122,0.60897,0.11418
1040,0.48935,0.52234,0.50898,0.79011,0.57662,0.143
1080,0.30608,0.51888,0.37845,0.51162,0.45247,0.0972
1120,0.53673,0.61099,0.44338,0.6122,0.58002,0.28522
1125,0.33964,0.40197,0.35146,0.52868,0.51765,0.18311
1140,0.78782,0.87311,0.62608,0.76594,0.73076,0.33824
1145,0.53485,0.68295,0.62733,0.66205,0.55733,0.43234
1150,0.3725,0.49188,0.38674,0.58931,0.49543,0.17277
1160,0.61566,0.61652,0.41013,0.60028,0.60738,0.38318
1170,0.38272,0.45106,0.52223,0.67635,0.51765,0.10837
1200,0.49887,0.50677,0.46705,0.54238,0.57946,0.2528
1240,0.35786,0.65969,0.67262,0.84025,0.36981,0.29126
