"msafips","whites","blacks","asians","amind","other","multigroup"
40,0.46544,0.48252,0.46724,0.5928,0.52791,0.35037
80,0.6843,0.7378,0.52457,0.65287,0.63934,0.32439
120,0.68067,0.68545,0.59748,0.61937,0.5376,0.69769
160,0.54015,0.58575,0.53163,0.73833,0.61354,0.21506
200,0.4153,0.3795,0.43849,0.75302,0.44223,0.42566
220,0.75658,0.78102,0.7079,0.89264,0.93656,0.70075
240,0.56415,0.59118,0.54759,0.77541,0.64706,0.29416
280,0.57287,0.63072,0.75126,0.78415,0.74192,0.0714
320,0.54812,0.69393,0.52554,0.45212,0.51619,0.42152
380,0.35351,0.37298,0.34213,0.34768,0.37653,0.28458
440,0.53114,0.58848,0.52628,0.69831,0.68402,0.28057
450,0.69106,0.7318,0.6343,0.70934,0.73977,0.47386
460,0.49981,0.54996,0.58401,0.68818,0.61849,0.1387
480,0.59754,0.67021,0.60634,0.69402,0.64172,0.24078
500,0.57365,0.60686,0.48718,0.83681,0.60569,0.48298
520,0.63642,0.676,0.48792,0.60994,0.54199,0.63922
560,0.64079,0.69204,0.554,0.73323,0.59152,0.51395
580,0.64444,0.67787,0.57108,0.66941,0.65572,0.51206
600,0.64158,0.66312,0.52108,0.76837,0.61762,0.63437
640,0.48404,0.56314,0.4806,0.54888,0.49505,0.4432
680,0.51579,0.48646,0.49414,0.48033,0.53651,0.53226
720,0.69821,0.73798,0.46802,0.62298,0.57127,0.63617
730,0.51271,0.58157,0.61498,0.63013,0.78547,0.10639
740,0.49671,0.59786,0.63378,0.66804,0.65794,0.16509
760,0.78587,0.81297,0.59036,0.65327,0.66128,0.73868
840,0.79639,0.82731,0.61241,0.67651,0.65553,0.72617
860,0.44177,0.57373,0.44912,0.62463,0.59,0.22833
870,0.67617,0.74084,0.59113,0.66781,0.59829,0.45045
875,0.4627,0.61497,0.39841,0.60195,0.51555,0.42459
880,0.56727,0.6883,0.64525,0.63862,0.73056,0.19941
920,0.64006,0.69039,0.58659,0.71612,0.54479,0.48589
960,0.5004,0.53401,0.52656,0.73073,0.62098,0.14937
1000,0.81145,0.83899,0.58283,0.79384,0.728,0.73357
1010,0.5065,0.68445,0.70231,0.52017,0.72561,0.09279
1020,0.38426,0.48109,0.44576,0.73416,0.56281,0.15006
1040,0.48363,0.51314,0.49759,0.74277,0.56918,0.19969
1080,0.50237,0.49689,0.45823,0.49854,0.69107,0.31983
1120,0.52134,0.60094,0.45285,0.59049,0.56418,0.32306
1125,0.36285,0.41051,0.37333,0.50871,0.51161,0.23012
1145,0.45846,0.58196,0.63437,0.63911,0.5045,0.4022
1150,0.35691,0.51108,0.36642,0.52908,0.44561,0.18901
1160,0.60485,0.60939,0.4274,0.6016,0.57145,0.42849
1200,0.56876,0.56593,0.53361,0.63194,0.58807,0.35122
1240,0.40931,0.72356,0.89889,0.69549,0.4273,0.33889
1260,0.61719,0.78704,0.54058,0.62739,0.61258,0.54605
1280,0.69364,0.74546,0.51555,0.76242,0.61593,0.38633
1305,0.45113,0.56369,0.50002,0.75921,0.63283,0.09517
1320,0.78214,0.84571,0.64789,0.84721,0.85719,0.24876
1350,0.45209,0.58039,0.52575,0.5854,0.52525,0.18452
1360,0.46639,0.55367,0.48083,0.61342,0.59305,0.1166
1400,0.54124,0.59369,0.47722,0.76542,0.53518,0.37485
1440,0.66444,0.6896,0.56296,0.78024,0.64827,0.63001
1480,0.66913,0.73229,0.67669,0.81329,0.92323,0.1938
1520,0.59926,0.62976,0.50657,0.64349,0.56202,0.49129
1540,0.52558,0.57573,0.48589,0.73143,0.5671,0.34202
1560,0.76472,0.81225,0.58644,0.75421,0.83894,0.44486
1580,0.44667,0.52542,0.57423,0.6175,0.54172,0.25131
1600,0.63322,0.76324,0.54254,0.66681,0.57248,0.65673
1620,0.50892,0.5868,0.57327,0.61949,0.6724,0.33273
1640,0.69073,0.73455,0.56506,0.81855,0.63881,0.37016
1660,0.55097,0.58153,0.50206,0.5648,0.45065,0.45543
1680,0.70759,0.75325,0.49771,0.65878,0.7573,0.51865
1720,0.37868,0.43604,0.35204,0.45267,0.41113,0.25138
1740,0.49149,0.55692,0.49224,0.74971,0.57949,0.25183
1760,0.63792,0.65627,0.48012,0.65004,0.53124,0.60854
1800,0.65049,0.65859,0.50783,0.60637,0.44408,0.67386
1840,0.60952,0.67691,0.48906,0.62212,0.51814,0.37379
1880,0.36035,0.50426,0.52183,0.49901,0.39264,0.34415
1890,0.41662,0.51141,0.45972,0.538,0.54725,0.19091
1900,0.50759,0.50334,0.83915,1.01852,0.99739,0.12602
1920,0.53267,0.63655,0.52154,0.52838,0.52878,0.54818
1930,0.47497,0.50097,0.45449,0.76013,0.59925,0.24273
1950,0.57489,0.58253,0.73043,0.75636,0.82625,0.52988
1960,0.55948,0.6343,0.51423,0.67466,0.57455,0.26545
2000,0.72641,0.78971,0.52988,0.62513,0.59747,0.42145
2020,0.56679,0.64737,0.4884,0.61489,0.68688,0.301
2030,0.65551,0.74979,0.68951,0.78055,0.66259,0.38669
2040,0.6149,0.63416,0.58056,0.61436,0.61679,0.33192
2080,0.46548,0.6219,0.3633,0.40223,0.53595,0.36358
2120,0.54025,0.60602,0.47939,0.60039,0.61955,0.23755
2160,0.80684,0.87015,0.68917,0.90315,0.81808,0.69185
2180,0.65921,0.68625,0.62173,0.72382,0.59161,0.52428
2190,0.51834,0.53394,0.54971,0.67818,0.62647,0.42002
2200,0.61733,0.66335,0.68309,0.75501,0.81039,0.14358
2240,0.55687,0.5916,0.61189,0.63775,0.78254,0.10726
2281,0.47616,0.53908,0.47421,0.76366,0.5202,0.28622
2290,0.5692,0.62182,0.62514,0.7024,0.86953,0.10822
2320,0.24655,0.43794,0.48296,0.43972,0.26323,0.23787
2330,0.56005,0.67664,0.57958,0.68776,0.55686,0.33229
2335,0.47176,0.51334,0.57971,0.70196,0.51168,0.16342
2340,0.50257,0.63734,0.5291,0.45287,0.59272,0.22805
2360,0.57281,0.61446,0.50299,0.7299,0.60122,0.19975
2400,0.38731,0.51774,0.46844,0.51692,0.52463,0.17263
2440,0.59308,0.65196,0.59007,0.81226,0.60687,0.18103
2520,0.4913,0.54694,0.52319,0.54705,0.60957,0.13397
2560,0.46791,0.48577,0.41247,0.58418,0.38563,0.51196
2580,0.46044,0.60435,0.55537,0.63165,0.56295,0.2654
2600,0.4928,0.48436,0.52666,0.73161,0.56028,0.24591
2620,0.84311,0.61746,0.66355,0.9654,0.60264,0.83724
