"msafips","whites","blacks","asians","amind","other","multigroup"
40,0.21286,0.17429,0.05702,0.04189,0.16311,0.08457
80,0.46019,0.50122,0.06842,0.02638,0.03309,0.10286
120,0.5457,0.55279,0.08231,0.01512,0.04441,0.27511
160,0.20216,0.19483,0.07506,0.07429,0.08119,0.03426
200,0.26447,0.04041,0.03501,0.80297,0.18302,0.15744
220,0.64945,0.67156,0.10741,0.44375,0.3517,0.29367
240,0.19843,0.09761,0.08746,0.06763,0.16169,0.0574
280,0.13126,0.08151,0.12101,0.01339,0.01014,0.00415
320,0.30586,0.43093,0.12137,0.0376,0.17385,0.12373
380,0.13674,0.04634,0.05572,0.07737,0.03903,0.03839
440,0.20243,0.19964,0.08943,0.10898,0.17161,0.04911
450,0.55455,0.59135,0.10028,0.04469,0.0922,0.18238
460,0.14803,0.09244,0.07825,0.31657,0.09715,0.01963
480,0.28743,0.31942,0.04801,0.11938,0.10951,0.0524
500,0.35842,0.37139,0.04464,0.24036,0.1169,0.13855
520,0.47827,0.51557,0.06352,0.02629,0.08728,0.22419
560,0.42186,0.43259,0.11293,0.03776,0.14959,0.15046
580,0.48812,0.51895,0.09364,0.02132,0.05437,0.18586
600,0.4989,0.5199,0.0734,0.12843,0.09801,0.23844
640,0.25695,0.22871,0.06598,0.05713,0.17902,0.11718
680,0.31608,0.1145,0.11831,0.12408,0.28539,0.18561
720,0.55443,0.5942,0.05903,0.03487,0.06474,0.24196
730,0.23203,0.13428,0.11922,0.33857,0.05907,0.01688
740,0.1099,0.08497,0.03385,0.14334,0.07726,0.01739
760,0.69517,0.72898,0.09289,0.04407,0.1124,0.31909
840,0.69133,0.72196,0.10667,0.09615,0.16739,0.29719
860,0.19865,0.08424,0.07834,0.33962,0.17903,0.05488
870,0.48397,0.54098,0.05228,0.03621,0.05926,0.15078
875,0.24355,0.28337,0.09497,0.07234,0.13789,0.09953
880,0.23828,0.04151,0.09882,0.25654,0.14452,0.0383
920,0.46021,0.50408,0.11387,0.04926,0.02463,0.16391
960,0.12008,0.06555,0.0754,0.03573,0.08549,0.01542
1000,0.71442,0.74612,0.05909,0.0865,0.1392,0.31629
1010,0.1543,0.09728,0.21185,0.14043,0.02594,0.01153
1020,0.08685,0.08439,0.05402,0.09737,0.10546,0.01697
1040,0.14,0.11895,0.06791,0.05845,0.08565,0.02552
1080,0.2059,0.02009,0.07507,0.03284,0.29193,0.10897
1120,0.25872,0.27654,0.07888,0.00965,0.09537,0.06631
1125,0.08921,0.03255,0.0608,0.06597,0.10116,0.03616
1145,0.22983,0.27121,0.14225,0.03198,0.16683,0.10399
1150,0.09716,0.06616,0.05509,0.18073,0.03717,0.02031
1160,0.32651,0.24261,0.06003,0.01214,0.12112,0.09692
1200,0.24778,0.13316,0.05691,0.01607,0.12463,0.06473
1240,0.19737,0.11267,0.31728,0.0562,0.19641,0.12157
1260,0.46361,0.63732,0.13187,0.02198,0.25951,0.20275
1280,0.47806,0.51602,0.04855,0.411,0.10563,0.12362
1305,0.08649,0.07898,0.0429,0.06971,0.03624,0.0064
1320,0.50307,0.54069,0.08889,0.07879,0.08034,0.07316
1350,0.09251,0.03179,0.01504,0.0976,0.09292,0.02666
1360,0.09296,0.08703,0.06591,0.03026,0.08062,0.01149
1400,0.27218,0.28836,0.08571,0.13806,0.06089,0.08011
1440,0.53105,0.55753,0.08188,0.22134,0.15349,0.24418
1480,0.31496,0.33924,0.11632,0.07952,0.18821,0.04262
1520,0.40855,0.4227,0.05276,0.11288,0.083,0.15332
1540,0.26489,0.29791,0.05155,0.03679,0.05329,0.07866
1560,0.59192,0.62281,0.05702,0.09771,0.16963,0.16241
1580,0.12491,0.07883,0.0585,0.05313,0.12499,0.04303
1600,0.46413,0.58835,0.12111,0.03777,0.17766,0.2265
1620,0.24775,0.07507,0.14575,0.22653,0.29927,0.10098
1640,0.45574,0.48308,0.08682,0.10404,0.07368,0.11542
1660,0.35587,0.38645,0.0532,0.02958,0.03089,0.13606
1680,0.54772,0.59945,0.06233,0.02826,0.13003,0.1913
1720,0.11832,0.07944,0.03522,0.04043,0.07045,0.03367
1740,0.19365,0.21229,0.0645,0.16562,0.07814,0.04358
1760,0.48592,0.50234,0.03822,0.06563,0.04486,0.2228
1800,0.50154,0.50838,0.06111,0.05092,0.06056,0.25003
1840,0.37794,0.42381,0.06102,0.03667,0.05804,0.10683
1880,0.16211,0.16353,0.05317,0.08109,0.15409,0.09714
1890,0.11731,0.04574,0.07559,0.05238,0.16626,0.03354
1900,0.13708,0.10265,0.20891,0.32083,0.42597,0.02099
1920,0.34337,0.41473,0.08906,0.05504,0.17727,0.1671
1930,0.12726,0.06682,0.0592,0.02445,0.09649,0.03091
1950,0.39585,0.40042,0.14853,0.03433,0.25481,0.17989
1960,0.2461,0.26906,0.04761,0.05518,0.10836,0.05268
2000,0.56979,0.62798,0.07604,0.0263,0.07456,0.15825
2020,0.35923,0.41775,0.05604,0.01807,0.17192,0.08869
2030,0.46691,0.54232,0.09332,0.19223,0.0738,0.12409
2040,0.31476,0.31875,0.06621,0.01397,0.08377,0.08139
2080,0.21558,0.23931,0.03964,0.01914,0.16586,0.08604
2120,0.22032,0.19579,0.0501,0.02241,0.08488,0.03733
2160,0.69916,0.7673,0.16119,0.11021,0.22813,0.28632
2180,0.49684,0.52193,0.05011,0.04991,0.04376,0.1893
2190,0.29226,0.28781,0.0928,0.0827,0.11536,0.10849
2200,0.15495,0.04339,0.24043,0.01308,0.16813,0.0249
2240,0.1807,0.05922,0.07069,0.22513,0.12546,0.01577
2281,0.19432,0.19108,0.07107,0.06562,0.05208,0.04743
2290,0.14466,0.02948,0.133,0.04921,0.32519,0.0218
2320,0.08249,0.04712,0.02279,0.07545,0.08355,0.05026
2330,0.26119,0.26096,0.11109,0.03212,0.12457,0.07116
2335,0.11183,0.10156,0.03672,0.04022,0.07817,0.01806
2340,0.22691,0.37214,0.11303,0.08837,0.1009,0.0461
2360,0.19797,0.19016,0.03486,0.11733,0.03819,0.02821
2400,0.09921,0.04931,0.07109,0.06328,0.08143,0.02191
2440,0.26679,0.29606,0.07207,0.12811,0.03288,0.03665
2520,0.07833,0.03645,0.07642,0.04562,0.0604,0.01096
2560,0.30884,0.32466,0.04134,0.09889,0.04399,0.15553
2580,0.12314,0.06451,0.05676,0.13787,0.11586,0.04225
2600,0.13489,0.06838,0.08274,0.05518,0.08021,0.03096
2620,0.83366,0.11811,0.18976,1.01772,0.1263,0.4038
2640,0.67907,0.73683,0.09042,0.03487,0.06127,0.24417
2650,0.41609,0.43457,0.06071,0.17085,0.04067,0.09777
2655,0.54547,0.5603,0.03223,0.19493,0.25255,0.26859
2670,0.12457,0.10394,0.04433,0.06385,0.13372,0.04561
2680,0.40923,0.4863,0.01904,0.09905,0.02798,0.1647
2700,0.36167,0.45568,0.04974,0.0328,0.12731,0.08331
2710,0.51666,0.5886,0.09897,0.01991,0.13952,0.14099
2720,0.27476,0.23508,0.09456,0.31747,0.11552,0.07305
2750,0.22289,0.28749,0.05002,0.06098,0.01938,0.05406
2760,0.36343,0.38188,0.0631,0.09366,0.08144,0.0689
2800,0.32083,0.39176,0.08756,0.03938,0.18337,0.13672
2840,0.28423,0.13208,0.14277,0.14776,0.27105,0.18073
2880,0.50348,0.51862,0.02444,0.13974,0.05805,0.13647
2900,0.51584,0.63741,0.04892,0.10353,0.04302,0.20108
2920,0.37059,0.45668,0.07588,0.03128,0.12252,0.15322
2960,0.65645,0.76488,0.06788,0.07683,0.10521,0.25787
2975,0.11478,0.09318,0.07133,0.16835,0.07907,0.01281
2980,0.47773,0.51327,0.05101,0.03114,0.23126,0.24125
2985,0.13816,0.05857,0.09309,0.08631,0.21302,0.03769
2995,0.10581,0.10087,0.04306,0.06057,0.10077,0.03982
3000,0.35565,0.43996,0.0465,0.07011,0.13313,0.08782
3040,0.08085,0.02008,0.03905,0.08202,0.04862,0.0118
3060,0.20747,0.08492,0.19137,0.07106,0.20443,0.11796
3080,0.16713,0.0253,0.07202,0.21455,0.06422,0.02685
3120,0.42596,0.43251,0.0583,0.04103,0.10548,0.15682
3150,0.51012,0.53031,0.11178,0.02636,0.23916,0.2483
3160,0.3845,0.41106,0.05331,0.0532,0.08551,0.12533
3180,0.13163,0.11397,0.10131,0.02597,0.06744,0.02213
3200,0.35899,0.43532,0.04538,0.02231,0.05709,0.05088
3240,0.42295,0.44319,0.08336,0.10297,0.1078,0.08287
3280,0.28884,0.27138,0.03795,0.05392,0.13559,0.08868
3285,0.57871,0.58929,0.08798,0.14654,0.10218,0.2328
3290,0.23967,0.26352,0.097,0.11564,0.11324,0.0546
3320,0.21737,0.03927,0.23148,0.01293,0.05659,0.09541
3350,0.36463,0.3922,0.29458,0.2195,0.48983,0.13038
3360,0.36915,0.52458,0.10149,0.03813,0.17901,0.20621
3400,0.25434,0.23875,0.09433,0.31208,0.08748,0.01578
3440,0.40531,0.43357,0.08295,0.08761,0.07919,0.15095
3480,0.43628,0.4781,0.04204,0.06997,0.04207,0.12177
3500,0.10498,0.07055,0.08022,0.04955,0.09527,0.01959
3520,0.24859,0.26149,0.03144,0.02629,0.07547,0.04532
3560,0.67103,0.68023,0.13939,0.05992,0.18278,0.33815
3580,0.51112,0.51862,0.05369,0.26352,0.03602,0.21816
3600,0.59362,0.67856,0.04652,0.05009,0.03291,0.23318
3605,0.25218,0.26607,0.03519,0.02397,0.05181,0.0945
3610,0.14217,0.06612,0.101,0.13151,0.10176,0.02778
3620,0.19298,0.19239,0.11236,0.02445,0.06038,0.03058
