"msafips","multigroup"
40,0.22404
80,0.09398
120,0.19765
160,0.05607
200,0.32154
220,0.15466
240,0.05877
280,0.02087
320,0.21388
360,0.28371
380,0.28727
400,0.05448
405,0.12549
440,0.15294
450,0.13029
460,0.03735
480,0.10345
500,0.14763
520,0.15692
560,0.11824
600,0.18449
620,0.13879
640,0.23084
680,0.26936
720,0.1348
730,0.03692
760,0.14124
780,0.12049
840,0.17051
845,0.06859
860,0.08784
870,0.10113
875,0.1875
880,0.07593
920,0.16258
960,0.04568
1000,0.10316
1010,0.02788
1020,0.06615
1040,0.05056
1080,0.05782
1120,0.1101
1125,0.09896
1140,0.08449
1145,0.21979
1150,0.13392
1160,0.15161
1170,0.05224
1200,0.15899
1240,0.2329
1260,0.23838
1280,0.08241
1300,0.16157
1305,0.03067
1320,0.09456
1350,0.05603
1360,0.04502
1400,0.11577
1440,0.1805
1480,0.0778
1520,0.14187
1540,0.14866
1560,0.0924
1580,0.11803
1600,0.13655
1620,0.1489
1640,0.08628
1660,0.16831
1680,0.10416
1720,0.17669
1740,0.11083
1760,0.17331
1800,0.21324
1840,0.08913
1880,0.3023
1900,0.03422
1920,0.22226
1930,0.08216
1950,0.2311
1960,0.09188
2000,0.08798
2020,0.0963
2030,0.10644
2040,0.1087
2080,0.18855
2120,0.07101
2160,0.08552
2180,0.13936
2200,0.01524
2240,0.03793
2290,0.02889
2320,0.33103
2330,0.08149
2335,0.06479
2340,0.09899
2360,0.0607
2400,0.07262
2440,0.06366
2480,0.03112
2520,0.02979
2560,0.30356
2580,0.06387
2600,0.09682
2640,0.12773
2650,0.10167
2655,0.1749
2670,0.07781
2680,0.15767
2700,0.07656
2710,0.11194
2720,0.16781
2750,0.15186
2760,0.08226
2800,0.19862
2840,0.35847
2880,0.08397
2900,0.15945
2920,0.2379
2960,0.11134
2975,0.01525
2985,0.04152
3000,0.09589
3040,0.09863
3060,0.11839
3080,0.059
3120,0.13164
3160,0.14667
3180,0.03708
3200,0.05978
3240,0.07514
3280,0.10499
3290,0.09722
3320,0.35564
3350,0.16655
3360,0.27358
3400,0.03091
3440,0.15787
3480,0.07191
3500,0.05514
3520,0.07743
3560,0.12927
3580,0.15565
3600,0.13837
3605,0.21187
3610,0.04277
3620,0.0679
3640,0.32952
3660,0.03569
3680,0.02299
3690,0.09554
3710,0.06096
3720,0.12898
3740,0.08773
3760,0.11103
3800,0.08368
3810,0.25942
3840,0.05879
3850,0.05555
3870,0.05264
3880,0.17186
3920,0.0589
3960,0.11633
3965,0.13417
3980,0.11286
4000,0.05506
4040,0.11761
4080,0.37751
4100,0.13483
4120,0.22553
4150,0.11795
4160,0.08822
4200,0.2702
4240,0.02242
4280,0.10643
4320,0.06973
4360,0.07581
4400,0.13433
4420,0.18995
4440,0.12792
4480,0.35682
4520,0.08972
4560,0.09938
4600,0.24137
4640,0.17802
4680,0.18338
4720,0.06022
4760,0.03785
4800,0.09036
4880,0.29096
4890,0.06935
4900,0.10743
4920,0.15928
4940,0.32068
5000,0.22323
5015,0.15781
5020,0.09648
5040,0.25731
5080,0.10362
5120,0.09245
5160,0.11333
5170,0.25539
5190,0.08262
5200,0.14163
5240,0.14829
5280,0.06711
5320,0.13597
5345,0.09381
5350,0.04446
5360,0.11549
5380,0.11778
5400,0.11133
5440,0.12077
5480,0.1366
5520,0.08039
5560,0.18935
5600,0.26845
5640,0.16553
5700,0.08253
5720,0.20613
5760,0.14978
5775,0.36456
5790,0.09576
5800,0.29151
5880,0.21081
5910,0.09974
5920,0.10619
5950,0.10477
5960,0.14354
5990,0.07209
6000,0.26287
6015,0.11782
6020,0.02628
6025,0.13646
6060,0.07794
6080,0.17506
6120,0.07143
6160,0.18258
6200,0.19041
6240,0.18296
6280,0.07576
6320,0.04916
6400,0.02948
6440,0.15153
6450,0.03091
6460,0.12167
6480,0.09692
6520,0.05966
6560,0.204
6600,0.13013
6640,0.19804
6660,0.14057
6680,0.05257
6690,0.09878
6720,0.15662
6740,0.17303
6760,0.18052
6780,0.27317
6800,0.09312
6820,0.05189
6840,0.09909
6880,0.11633
6920,0.23689
6960,0.11069
6980,0.01747
7000,0.06745
7040,0.09146
7080,0.12306
7090,0.03992
7120,0.29031
7160,0.11876
7200,0.26241
7240,0.31615
7320,0.27922
7360,0.33783
7400,0.36597
7480,0.27564
7485,0.18159
7490,0.23515
7500,0.13636
7510,0.05054
7520,0.15646
7560,0.02176
7600,0.18878
7610,0.04406
7620,0.04047
7640,0.12141
7680,0.17225
7720,0.08418
7760,0.03738
7800,0.13912
7840,0.09557
7880,0.0708
7920,0.04235
8000,0.11324
8040,0.15798
8050,0.03412
8080,0.05902
8120,0.30728
8160,0.0593
8200,0.20233
8240,0.17658
8280,0.11572
8320,0.05999
8360,0.16438
8400,0.10082
8440,0.17884
8480,0.17216
8520,0.25276
8560,0.20133
8600,0.15013
8640,0.18577
8680,0.04079
8720,0.30998
8725,0.08974
8750,0.26728
8760,0.21066
8780,0.31509
8800,0.21796
8840,0.22998
8880,0.11108
8920,0.06329
8940,0.03392
8960,0.12868
9000,0.03523
9040,0.11563
9080,0.19103
9140,0.03172
9160,0.13244
9200,0.12735
9240,0.07366
9260,0.25763
9280,0.04701
9320,0.10558
9340,0.23624
9360,0.24474
