"msafips","whites","blacks","asians","amind","other","multigroup"
40,0.24084,0.20577,0.05981,0.0186,0.21242,0.1022
80,0.50027,0.54714,0.03036,0.01846,0.0193,0.09904
120,0.59606,0.60434,0.01726,0.0262,0.08494,0.29882
160,0.15463,0.16072,0.04681,0.03061,0.05999,0.0205
200,0.17619,0.05925,0.01569,0.42972,0.14574,0.09693
220,0.66807,0.69333,0.04391,0.24434,0.15894,0.28031
240,0.14833,0.11783,0.04697,0.05151,0.11774,0.03524
280,0.08024,0.04758,0.06048,0.44883,0.03643,0.00342
320,0.40566,0.73153,0.09449,0.07095,0.21886,0.14845
360,0.11876,0.03269,0.08375,0.01003,0.13403,0.05792
380,0.10052,0.04103,0.03293,0.08481,0.01542,0.02543
400,0.50842,0.54415,0.0122,0.13979,0.09015,0.0789
405,0.47577,0.48573,0.03505,0.01987,0.00805,0.1349
440,0.19797,0.22253,0.04897,0.01689,0.02557,0.052
450,0.52148,0.55112,0.03683,0.04978,0.0089,0.16724
460,0.12161,0.02016,0.04701,0.25181,0.06556,0.00921
480,0.37749,0.40849,0.03051,0.03008,0.02743,0.06232
500,0.37797,0.39669,0.05416,0.03234,0.06279,0.12333
520,0.55685,0.59234,0.03957,0.04065,0.05215,0.22954
560,0.51031,0.55536,0.07476,0.03238,0.13146,0.15584
600,0.55455,0.57604,0.03392,0.02778,0.01995,0.24734
620,0.21009,0.11434,0.02527,0.02328,0.15478,0.07106
640,0.31911,0.32789,0.03971,0.04406,0.20872,0.13897
680,0.37337,0.20168,0.11718,0.08051,0.34105,0.21243
720,0.55836,0.58938,0.04207,0.01771,0.0139,0.22706
730,0.16601,0.0339,0.04528,0.31451,0.03899,0.00969
760,0.72799,0.75607,0.05967,0.03175,0.059,0.31485
780,0.41894,0.46584,0.03036,0.17842,0.05354,0.09349
840,0.76477,0.79835,0.17541,0.06585,0.14382,0.30161
845,0.37852,0.40096,0.03264,0.01978,0.03585,0.0435
860,0.23432,0.03092,0.05747,0.39307,0.14663,0.0413
870,0.48517,0.53021,0.03601,0.02807,0.09797,0.14158
875,0.25376,0.29693,0.06657,0.11614,0.11345,0.07991
880,0.17339,0.08655,0.03849,0.15107,0.13424,0.02704
920,0.47584,0.51501,0.10533,0.04112,0.04009,0.1564
960,0.07373,0.06232,0.06374,0.05434,0.0193,0.00576
1000,0.7121,0.72713,0.03506,0.08742,0.0982,0.28697
1010,0.14612,0.01429,0.02224,0.17107,0.04153,0.00959
1020,0.07531,0.0742,0.04717,0.08696,0.09793,0.01102
1040,0.08214,0.06838,0.04589,0.10031,0.03952,0.01025
1080,0.02844,0.01464,0.01546,0.04598,0.02481,0.00454
1120,0.27655,0.30405,0.06442,0.01109,0.08969,0.06169
1125,0.06137,0.00899,0.02236,0.08835,0.08999,0.02422
1140,0.60942,0.66681,0.04926,0.06401,0.16237,0.11665
1145,0.31477,0.40329,0.12575,0.05033,0.20864,0.13493
1150,0.10313,0.04154,0.0558,0.25756,0.0631,0.02055
1160,0.3189,0.25023,0.02987,0.01633,0.13631,0.08663
1170,0.03945,0.03084,0.02466,0.01322,0.02138,0.00442
1200,0.15421,0.10245,0.01883,0.0062,0.06613,0.03073
1240,0.15161,0.02291,0.03608,0.0876,0.15667,0.09722
1260,0.5833,0.77431,0.13716,0.12049,0.28837,0.23385
1280,0.5233,0.56418,0.02975,0.58546,0.10412,0.12849
1300,0.40979,0.41864,0.07485,0.06166,0.2073,0.13291
1305,0.02518,0.03568,0.01487,0.0194,0.00729,0.00133
1320,0.51111,0.55227,0.02346,0.05733,0.02027,0.06775
1350,0.07738,0.0683,0.01165,0.05373,0.06876,0.0171
1360,0.08862,0.11207,0.0151,0.02277,0.00954,0.00563
1400,0.26026,0.31476,0.05784,0.18023,0.01163,0.06431
1440,0.63276,0.6664,0.04191,0.13006,0.03438,0.27988
1480,0.34588,0.38281,0.0274,0.07239,0.02549,0.04117
1520,0.48947,0.51426,0.03245,0.08182,0.03193,0.16562
1540,0.3372,0.37393,0.02674,0.07477,0.02719,0.0942
1560,0.61054,0.64469,0.03879,0.09428,0.01591,0.15104
1580,0.16674,0.05794,0.15727,0.10131,0.16678,0.05918
1600,0.57392,0.68776,0.14198,0.05848,0.22233,0.27674
1620,0.21592,0.19469,0.10456,0.17088,0.26609,0.07623
1640,0.51443,0.54306,0.03697,0.035,0.01411,0.12503
1660,0.40968,0.44016,0.02496,0.04269,0.02386,0.14833
1680,0.64712,0.70555,0.03828,0.01982,0.14551,0.22409
1720,0.11034,0.07885,0.01966,0.05371,0.05618,0.02698
1740,0.23719,0.28821,0.04989,0.0272,0.03794,0.0452
1760,0.53073,0.5468,0.02216,0.02052,0.04364,0.2323
1800,0.55675,0.57894,0.0305,0.02044,0.01597,0.27106
1840,0.39971,0.43653,0.03027,0.04613,0.01308,0.09473
1880,0.21207,0.24134,0.06321,0.07677,0.19832,0.12813
1900,0.11133,0.11827,0.06973,0.09378,0.02886,0.00639
1920,0.44394,0.5375,0.05143,0.04087,0.23771,0.20285
1930,0.09425,0.07077,0.0281,0.01073,0.08592,0.01578
1950,0.42219,0.42571,0.07329,0.01106,0.06248,0.18439
1960,0.25654,0.29815,0.04012,0.09782,0.06665,0.04166
2000,0.60486,0.65826,0.01877,0.04737,0.02586,0.15216
2020,0.44636,0.52973,0.03917,0.03074,0.14316,0.09823
2030,0.51114,0.58019,0.0143,0.3104,0.02016,0.12399
2040,0.30994,0.31755,0.03743,0.06084,0.02782,0.06875
2080,0.28816,0.41305,0.03088,0.03218,0.18713,0.09625
2120,0.25105,0.27423,0.06765,0.04861,0.05333,0.02858
2160,0.69916,0.75418,0.09486,0.09132,0.17228,0.25962
2180,0.5399,0.57192,0.03814,0.16635,0.01986,0.19242
2200,0.02797,0.01326,0.02145,0.00713,0.0112,0.00141
2240,0.1643,0.04897,0.04873,0.20771,0.13751,0.01267
2290,0.13863,0.04989,0.13846,0.11489,0.07088,0.00849
2320,0.06893,0.0536,0.02088,0.04095,0.08143,0.04667
2330,0.3172,0.39682,0.03337,0.04681,0.03831,0.03839
2335,0.11175,0.11359,0.03249,0.05908,0.01926,0.01473
2340,0.27155,0.4325,0.03725,0.08077,0.04968,0.03904
2360,0.19391,0.19317,0.02403,0.12057,0.02694,0.0227
2400,0.0725,0.02648,0.04252,0.14191,0.06207,0.01124
2440,0.3063,0.33621,0.01901,0.02134,0.08302,0.03785
2480,0.04136,0.02462,0.03755,0.01273,0.01238,0.00226
2520,0.07669,0.01225,0.0684,0.05283,0.09549,0.01398
2560,0.38441,0.41753,0.02466,0.202,0.02188,0.18602
2580,0.10733,0.10359,0.02947,0.14851,0.05115,0.01052
2600,0.10667,0.04219,0.08175,0.04873,0.05285,0.02026
2640,0.66942,0.73574,0.03946,0.02155,0.03029,0.23104
2650,0.45384,0.46762,0.07127,0.10139,0.07346,0.10236
2655,0.60594,0.61209,0.02876,0.02466,0.35017,0.29052
2670,0.08421,0.00908,0.09132,0.06682,0.08447,0.02798
2680,0.54818,0.63943,0.0127,0.1562,0.02614,0.16695
2700,0.42525,0.49884,0.02683,0.11041,0.08374,0.07113
2710,0.65894,0.71466,0.03715,0.02378,0.2161,0.17261
2720,0.30533,0.38555,0.0893,0.31335,0.02726,0.06326
2750,0.27311,0.36932,0.02279,0.02003,0.01654,0.06236
2760,0.40506,0.43366,0.01518,0.0805,0.03374,0.07225
2800,0.45687,0.59973,0.06983,0.03432,0.2809,0.17924
2840,0.31377,0.23971,0.14856,0.13999,0.27944,0.18613
2880,0.48591,0.50333,0.058,0.09063,0.0114,0.12101
2900,0.58647,0.67242,0.03759,0.02186,0.04414,0.20751
2920,0.42233,0.51106,0.0956,0.05013,0.09407,0.16485
2960,0.70254,0.7829,0.02508,0.01716,0.12179,0.26121
2975,0.0615,0.05513,0.06041,0.07498,0.01314,0.00395
2985,0.07008,0.05237,0.03102,0.03963,0.09861,0.01028
3000,0.34346,0.41741,0.02552,0.05233,0.12793,0.06591
3040,0.0729,0.0138,0.04794,0.08837,0.02133,0.00957
3060,0.21409,0.02918,0.18131,0.08445,0.22133,0.11524
3080,0.17587,0.03248,0.06785,0.23439,0.02303,0.01336
3120,0.4872,0.50431,0.051,0.03738,0.12174,0.15984
3160,0.42239,0.44097,0.04075,0.05458,0.03349,0.12745
3180,0.12981,0.13375,0.01983,0.07586,0.03109,0.01685
3200,0.46709,0.5618,0.07138,0.13315,0.01317,0.05023
3240,0.39656,0.43266,0.04035,0.03554,0.05311,0.06176
3280,0.31904,0.31128,0.02546,0.04824,0.12006,0.09021
3290,0.28689,0.31493,0.05063,0.02378,0.06742,0.04799
3320,0.19734,0.04544,0.21805,0.0101,0.04933,0.09676
3350,0.36407,0.41822,0.07123,0.19234,0.19186,0.11797
3360,0.46228,0.64515,0.07312,0.03358,0.24982,0.25149
3400,0.2446,0.27287,0.04891,0.2173,0.01544,0.0127
3440,0.40036,0.43573,0.02713,0.10367,0.01263,0.14204
3480,0.51018,0.54232,0.03186,0.06211,0.03005,0.13058
3500,0.06145,0.02022,0.04561,0.00607,0.05546,0.00817
3520,0.2642,0.29135,0.02178,0.05285,0.04075,0.04586
3560,0.72553,0.73493,0.02711,0.03079,0.02939,0.35769
3580,0.62162,0.62837,0.04655,0.04904,0.09574,0.2689
3600,0.69408,0.77862,0.03222,0.04826,0.02118,0.24694
3605,0.26905,0.27925,0.02717,0.02178,0.03171,0.09814
3610,0.13399,0.06528,0.03401,0.22432,0.09477,0.02499
3620,0.20552,0.22961,0.03706,0.01901,0.05669,0.02518
3640,0.27688,0.42561,0.09447,0.00279,0.05406,0.12759
3660,0.17347,0.19667,0.0175,0.1028,0.15844,0.01111
3680,0.1576,0.16395,0.05362,0.25356,0.02024,0.00649
3690,0.39051,0.39608,0.03578,0.02306,0.18309,0.10157
3710,0.13967,0.1836,0.08705,0.13547,0.04218,0.01078
3720,0.3424,0.3959,0.02528,0.10933,0.02501,0.06914
3740,0.60358,0.64543,0.02719,0.05378,0.20689,0.1728
3760,0.50103,0.57469,0.03299,0.07361,0.09618,0.13562
3800,0.14864,0.12846,0.01453,0.01554,0.06205,0.02402
3810,0.2745,0.23483,0.05405,0.07239,0.16702,0.1167
3840,0.4025,0.46334,0.03264,0.08836,0.01824,0.0536
3850,0.26251,0.29624,0.09702,0.08526,0.03025,0.02878
3870,0.12963,0.01518,0.13858,0.02862,0.01047,0.00862
3880,0.52321,0.54799,0.06487,0.06714,0.10931,0.2046
3920,0.06853,0.02553,0.06451,0.08485,0.03864,0.00906
3960,0.72219,0.74439,0.05171,0.01808,0.09844,0.26319
3965,0.28635,0.3385,0.03248,0.01193,0.10963,0.06907
3980,0.66676,0.76023,0.06779,0.11739,0.12922,0.18334
4000,0.17548,0.0805,0.03393,0.17287,0.1244,0.03708
4040,0.18385,0.17889,0.04229,0.03016,0.06668,0.03846
4080,0.09778,0.03563,0.02275,0.01682,0.10013,0.06958
4100,0.11651,0.03323,0.12025,0.02864,0.12182,0.05054
4120,0.26246,0.37062,0.02473,0.08783,0.08089,0.08483
4150,0.09042,0.07344,0.03012,0.07421,0.02922,0.01595
4160,0.20618,0.0437,0.04258,0.04562,0.19209,0.07732
4200,0.26232,0.25668,0.0256,0.40472,0.05783,0.11376
4240,0.0293,0.03151,0.0201,0.01723,0.03027,0.00289
4280,0.33259,0.36856,0.02984,0.10221,0.05524,0.07208
4320,0.31637,0.33958,0.03068,0.02853,0.01939,0.05166
4360,0.09551,0.0637,0.05464,0.05455,0.07591,0.01336
4400,0.69377,0.73159,0.02583,0.07762,0.05057,0.23274
4420,0.63924,0.68964,0.10326,0.07172,0.12956,0.24446
4440,0.2722,0.28271,0.02941,0.01977,0.08776,0.05679
4480,0.38234,0.50193,0.20136,0.06732,0.26378,0.23441
4520,0.51496,0.54433,0.01812,0.03708,0.01696,0.1244
4560,0.14505,0.0253,0.09966,0.04208,0.06067,0.02474
4600,0.36118,0.42488,0.02998,0.06332,0.27058,0.16925
4640,0.60071,0.62213,0.01595,0.16496,0.04304,0.20763
4680,0.63769,0.65705,0.03627,0.02361,0.13903,0.29658
4720,0.09329,0.07952,0.04365,0.0305,0.05244,0.01121
4760,0.03013,0.01273,0.02393,0.03125,0.01956,0.00327
4800,0.33094,0.3519,0.0234,0.045,0.03048,0.05271
4880,0.16864,0.0508,0.06033,0.18012,0.17053,0.1154
4890,0.1273,0.18205,0.10366,0.09121,0.13425,0.03584
4900,0.40452,0.50881,0.02145,0.02404,0.02837,0.07516
4920,0.68347,0.70193,0.04888,0.12335,0.07224,0.33667
4940,0.28621,0.09298,0.17246,0.04413,0.26819,0.16135
5000,0.52945,0.6867,0.01996,0.10977,0.04146,0.22168
5015,0.20459,0.23567,0.0643,0.02559,0.10067,0.05407
5020,0.12019,0.10766,0.05863,0.01416,0.03136,0.01764
5040,0.47699,0.64112,0.01123,0.0379,0.22899,0.17906
5080,0.4693,0.51724,0.03445,0.02013,0.11886,0.13612
5120,0.19378,0.19873,0.06042,0.0659,0.03397,0.02457
5160,0.70614,0.7383,0.14605,0.33111,0.08115,0.29485
5170,0.17659,0.04041,0.09311,0.06618,0.18305,0.08989
5190,0.30434,0.36601,0.05364,0.02883,0.05083,0.05023
5200,0.71187,0.72964,0.0583,0.02038,0.0661,0.31128
5240,0.62741,0.63798,0.05113,0.08949,0.01367,0.29365
5280,0.69728,0.79312,0.01471,0.06663,0.04108,0.09143
5320,0.49649,0.54721,0.05687,0.08366,0.02781,0.13207
5345,0.32901,0.31202,0.01689,0.62442,0.2218,0.08536
5350,0.05539,0.07025,0.03362,0.02612,0.04299,0.0069
5360,0.43522,0.46007,0.03391,0.1023,0.02036,0.12203
5380,0.37364,0.46588,0.03631,0.27842,0.0631,0.07662
5400,0.19896,0.06615,0.04977,0.01238,0.15772,0.06439
5440,0.1402,0.05814,0.02245,0.00393,0.11974,0.0434
5480,0.33659,0.32965,0.03104,0.0099,0.09707,0.0914
5520,0.12838,0.08933,0.07415,0.14684,0.04687,0.01936
5560,0.58248,0.61086,0.07427,0.03016,0.03474,0.27755
5600,0.50717,0.49461,0.10947,0.01405,0.14133,0.24928
5640,0.45741,0.48554,0.04583,0.01728,0.08845,0.19031
5700,0.34231,0.38487,0.03233,0.1602,0.07271,0.0451
5720,0.53599,0.59009,0.04486,0.02694,0.01222,0.23862
5760,0.20026,0.18507,0.0142,0.0041,0.04294,0.04439
5775,0.34944,0.45139,0.10721,0.01572,0.10947,0.1585
5790,0.626,0.68652,0.12638,0.09898,0.12124,0.15702
5800,0.25787,0.40334,0.02647,0.05029,0.19006,0.13683
5880,0.36345,0.54503,0.05433,0.13669,0.11413,0.12026
5910,0.08922,0.02908,0.05551,0.1595,0.05563,0.01506
5920,0.46351,0.56256,0.01854,0.04159,0.04482,0.09074
5950,0.20011,0.17105,0.06616,0.04939,0.08224,0.04161
5960,0.49724,0.66095,0.02365,0.02354,0.05016,0.14717
5990,0.24612,0.26252,0.01717,0.10916,0.01938,0.02162
6000,0.19326,0.0347,0.07514,0.05835,0.23904,0.11132
6015,0.43461,0.52088,0.03668,0.03589,0.01194,0.10272
6020,0.18941,0.24958,0.02385,0.07923,0.02756,0.00669
6025,0.54012,0.57104,0.03227,0.05391,0.03523,0.18562
6060,0.11615,0.04066,0.04946,0.0081,0.10029,0.03108
6080,0.60851,0.70341,0.04886,0.10277,0.01942,0.19284
6120,0.28169,0.30365,0.03698,0.05886,0.05161,0.04511
6160,0.44165,0.44144,0.02129,0.00238,0.17784,0.15734
6200,0.2635,0.1653,0.02609,0.28569,0.23888,0.11106
6240,0.68258,0.69574,0.01963,0.01499,0.09281,0.33929
6280,0.45779,0.49581,0.03282,0.04802,0.02795,0.07614
6320,0.08632,0.09792,0.02553,0.0394,0.02533,0.00637
6400,0.04462,0.03474,0.03255,0.06591,0.02584,0.0024
6440,0.20264,0.42995,0.04024,0.03468,0.09238,0.03961
6450,0.05664,0.05064,0.04716,0.03602,0.03799,0.00424
6460,0.16901,0.18577,0.03346,0.04245,0.03499,0.03394
6480,0.27282,0.19091,0.05583,0.03219,0.08786,0.04544
6520,0.08012,0.0076,0.04375,0.03982,0.1138,0.02545
6560,0.12051,0.03164,0.06129,0.07109,0.11378,0.06214
6600,0.35513,0.33127,0.02897,0.01868,0.06545,0.07656
6640,0.49679,0.53518,0.03842,0.11184,0.10013,0.20135
6660,0.13607,0.02246,0.03337,0.15086,0.01481,0.02409
6680,0.15906,0.10281,0.03487,0.02983,0.09403,0.03236
6690,0.16732,0.10726,0.13646,0.18897,0.09083,0.02478
6720,0.15839,0.04181,0.0427,0.51296,0.04867,0.03631
6740,0.28819,0.15486,0.06237,0.07491,0.30681,0.14233
6760,0.58422,0.61288,0.04564,0.04849,0.03786,0.2517
6780,0.21003,0.12546,0.05822,0.23392,0.1808,0.10329
6800,0.67946,0.72369,0.01856,0.04448,0.1895,0.15778
6820,0.06022,0.01809,0.0569,0.04627,0.00886,0.00469
6840,0.31157,0.30105,0.03206,0.05076,0.08067,0.06601
6880,0.4278,0.48203,0.03447,0.04081,0.10019,0.08765
6920,0.23404,0.13937,0.12215,0.06074,0.15855,0.07875
6960,0.60879,0.65147,0.02492,0.04679,0.09524,0.13651
6980,0.04968,0.0309,0.05319,0.03475,0.05642,0.00424
7000,0.18236,0.23045,0.02811,0.08013,0.03424,0.01772
7040,0.61011,0.65021,0.0268,0.04935,0.02841,0.1867
7080,0.12826,0.01914,0.05631,0.10877,0.17059,0.05665
7090,0.06385,0.03857,0.02397,0.01932,0.04959,0.00892
7120,0.33276,0.10606,0.0913,0.05555,0.36198,0.20217
7160,0.10535,0.04125,0.03377,0.02466,0.09449,0.0265
7200,0.2667,0.19692,0.01584,0.15202,0.23863,0.13596
7240,0.21181,0.32933,0.03342,0.03831,0.15218,0.11285
7320,0.27175,0.14362,0.10699,0.43439,0.19769,0.11318
7360,0.26163,0.21768,0.17243,0.02254,0.09019,0.11118
7400,0.15433,0.02432,0.09989,0.00772,0.13372,0.07153
7480,0.22997,0.02663,0.06344,0.07057,0.26199,0.13061
7485,0.19963,0.02003,0.05808,0.02263,0.23493,0.10684
7490,0.25199,0.01199,0.12873,0.5326,0.20868,0.13931
7500,0.11815,0.03321,0.04096,0.14161,0.14381,0.04511
7510,0.53477,0.64289,0.01756,0.00985,0.01766,0.05464
7520,0.70488,0.73073,0.04131,0.05536,0.0171,0.33263
7560,0.0828,0.0782,0.05826,0.05659,0.07711,0.00674
7600,0.27195,0.29743,0.13176,0.10678,0.02507,0.05355
7610,0.28943,0.30407,0.10773,0.31295,0.01797,0.02967
7620,0.0836,0.03717,0.06656,0.1627,0.02311,0.00688
7640,0.34058,0.39901,0.16756,0.04035,0.17909,0.07194
7680,0.65233,0.67321,0.01722,0.1252,0.01959,0.30412
7720,0.15228,0.09726,0.0735,0.06564,0.06893,0.02183
7760,0.05081,0.02504,0.02429,0.04843,0.07371,0.00459
7800,0.38897,0.42542,0.02469,0.05154,0.09401,0.08392
7840,0.05632,0.04659,0.03019,0.0336,0.01793,0.00565
7880,0.36144,0.39577,0.03619,0.11465,0.04398,0.05732
7920,0.08237,0.0946,0.01912,0.08882,0.03126,0.00578
8000,0.31148,0.26944,0.03135,0.01601,0.20758,0.09941
8040,0.21642,0.23118,0.02244,0.00862,0.03499,0.05236
8050,0.07019,0.02679,0.05784,0.05277,0.01114,0.0066
8080,0.38269,0.42129,0.04632,0.07933,0.02663,0.03306
8120,0.22839,0.135,0.15631,0.04263,0.10782,0.0861
8160,0.22656,0.2466,0.04001,0.08328,0.03215,0.03271
8200,0.15135,0.10681,0.07186,0.03947,0.01967,0.03129
8240,0.65952,0.69501,0.05757,0.04062,0.24218,0.29457
8280,0.5735,0.70434,0.02697,0.04571,0.08996,0.12225
8320,0.1844,0.21137,0.03038,0.03863,0.01211,0.02037
8360,0.6116,0.63745,0.04992,0.12859,0.27418,0.22142
8400,0.39445,0.45095,0.02765,0.09699,0.13219,0.10276
8440,0.26341,0.26733,0.01977,0.0619,0.09594,0.0585
8480,0.49105,0.51959,0.04883,0.03155,0.14383,0.18276
8520,0.33302,0.10586,0.04157,0.66221,0.28116,0.16936
8560,0.34143,0.57868,0.01945,0.17886,0.03434,0.10347
8600,0.55307,0.5714,0.02749,0.15159,0.06499,0.22093
8640,0.58559,0.6117,0.02686,0.12034,0.21215,0.22796
8680,0.12397,0.11524,0.02257,0.17076,0.01876,0.01336
8720,0.22248,0.18272,0.11732,0.02008,0.12087,0.08808
8725,0.05295,0.02063,0.0404,0.09048,0.03896,0.00775
